,Place Name,Place ID,Latitude,Longitude,rating,Types,Vicinity,Positive,Negative
0,Green Garden Food Palace,ChIJEdW09bW3VTcRU1BxA-pgB7w,23.6908174,90.4571766,5.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1072, Dhaka",55,10
1,Laa Eatery Restaurant,ChIJLQsEqn_BVTcRNS7U5hQ0ljE,23.763554,90.36263170000001,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","15, 2 Tajmahal Rd, Dhaka",16,32
2,Purbachal Skyline Restaurant & Party Centre,ChIJCwaTuIbLVTcRxQiOPGqtqTY,23.8494147,90.5343215,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",Bangladesh,39,15
3,Cactus Restaurant,ChIJFRjc9FK5VTcRZKgjPUUsOrk,23.7603776,90.4438556,4.5,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'store', 'establishment']","House 7 Rd 4, Dhaka",53,28
4,New Somtam - Thai & Chinese Restaurant,ChIJAQAQZmC4VTcRg7XL3J7R-Jo,23.739919,90.4140278,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","137 East Shantinagar, Dhaka",26,39
5,Tomato Restaurant & Juice Bar,ChIJ43dmqoLHVTcROOS_l1WiOBA,23.833303,90.4381948,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Dhaka",42,9
6,Delicious Restaurant,ChIJK3zPxGbBVTcRrO7PbnSZyDg,23.811873499999997,90.3674446,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","House 1 Rd No. 7, Dhaka",19,23
7,Jay's Kitchen Bakery & Restaurant,ChIJjenmpYrHVTcRXRo2P6qeBKU,23.7630895,90.4307664,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",Dhaka,23,14
8,Nobanno cafe & Restaurant,ChIJC5G-8hTJVTcRaNIZwMMgByo,23.8324491,90.48402320000001,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Plot 18, Road 203, Sector 1, Neela Market",14,35
9,The Atrium Restaurant,ChIJS8DMxrHHVTcRr3Fl1Xug8qY,23.802477,90.4228988,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","50 & 52, Pragati Avenue, J Block, Baridhara, Dhaka",52,42
10,Royal Restaurant,ChIJ9yxQk964VTcRSfb1uLcqE3k,23.7195757,90.3905434,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","44 Lalbagh Rd, Dhaka",5,6
11,Green House Restaurant And Convention Hall,ChIJJZ8BwGa5VTcR-Xh3UMavzA4,23.736933999999998,90.38633,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Address: 25, Elephant Road (Beside Eastern Mollika Shopping Complex) Dhaka, Bangladesh",17,9
12,Muslim Restaurant and Mini Chinese,ChIJPbG9xUTFVTcR0znDKvjMg_c,23.874037,90.3909541,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Gareeb-e-Nawaz Ave, Dhaka",44,19
13,Cheez,ChIJXZR1hErHVTcRS_lmSt2zpnI,23.7927526,90.4081996,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","2nd Floor, House 37 Road-12, Dhaka",58,29
14,Kanary Restaurant,ChIJC3EQ4kzGVTcR80F-MrIN5IA,23.812208,90.4245041,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","KA/4, Basundhara Road, Jagannathpur, Vatara, Dhaka",3,16
15,Melting Pot,ChIJP6XUgau5VTcRp9hGf1BmH8M,23.737492899999996,90.3773007,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","15 Rd No. 1, Dhaka",8,40
16,Trouvaille,ChIJv4FE8iLEVTcRt3_K-OexKqk,23.855826,90.4035764,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","House 2 Rd No: 2, উত্তরা",4,49
17,Cheez,ChIJlTtvEFm_VTcRwnbUygHt4nU,23.744661899999997,90.37207690000001,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Rangs KB Square, 2nd Floor, 736 Satmasjid Road, Dhaka",11,48
18,Cheez,ChIJL8ISGhjHVTcRlOJ18e3nKbo,23.8087324,90.4303598,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",Dhaka,48,36
